FlightNumber,Date,BoosterVersion,BoosterSerial,LaunchSite,Lat,Long,Payload,PayloadMassKG,Orbit,Customer,MissionOutcome,LandingOutcome,class
12,2014-09-07,F9 v1.1,B1011,CCAFS SLC-40,28.5623,-80.57735,AsiaSat 6,4428.0,GTO,AsiaSat,Success,No attempt,0
13,2014-09-21,F9 v1.1,B1010,CCAFS SLC-40,28.5623,-80.57735,SpaceX CRS-4 (Dragon C106.1),2216.0,ISS,NASA (CRS),Success,Failure (ocean),0
14,2015-01-10,F9 v1.1,B1012,CCAFS SLC-40,28.5623,-80.57735,SpaceX CRS-5 (Dragon C107),2395.0,ISS,NASA (CRS),Success,Failure (drone ship),0
15,2015-02-11,F9 v1.1,B1013,CCAFS SLC-40,28.5623,-80.57735,DSCOVR,570.0,ES-L1,NASA/NOAA/USAF,Success,Controlled (ocean),0
16,2015-03-02,F9 v1.1,B1014,CCAFS SLC-40,28.5623,-80.57735,ABS-3A / Eutelsat 115 West B,4159.0,GTO,ABS/Eutelsat,Success,No attempt,0
17,2015-04-14,F9 v1.1,B1015,CCAFS SLC-40,28.5623,-80.57735,SpaceX CRS-6 (Dragon C108.1),1898.0,ISS,NASA (CRS),Success,Failure (drone ship),0
18,2015-04-27,F9 v1.1,B1016,CCAFS SLC-40,28.5623,-80.57735,TurkmenAlem 52E / MonacoSAT,4707.0,GTO,Turkmenistan NSA,Success,No attempt,0
19,2015-06-28,F9 v1.1,B1018,CCAFS SLC-40,28.5623,-80.57735,SpaceX CRS-7 (Dragon C109),1952.0,ISS,NASA (CRS),Failure,Precluded (drone ship),0
20,2015-12-22,F9 FT,B1019,CCAFS SLC-40,28.5623,-80.57735,Orbcomm-OG2-2,2034.0,LEO,Orbcomm,Success,Success (ground pad),1
21,2016-01-17,F9 v1.1,B1017,VAFB SLC-4E,34.63209,-120.61084,Jason-3,553.0,LEO,NASA/NOAA/CNES,Success,Failure (drone ship),0
22,2016-03-04,F9 FT,B1020,CCAFS SLC-40,28.5623,-80.57735,SES-9,5271.0,GTO,SES,Success,Failure (drone ship),0
23,2016-04-08,F9 FT,B1021,CCAFS SLC-40,28.5623,-80.57735,SpaceX CRS-8 (Dragon C110.1),3136.0,ISS,NASA (CRS),Success,Success (drone ship),1
24,2016-05-06,F9 FT,B1022,CCAFS SLC-40,28.5623,-80.57735,JCSAT-14,4696.0,GTO,SKY Perfect JSAT,Success,Success (drone ship),1
25,2016-05-27,F9 FT,B1023,CCAFS SLC-40,28.5623,-80.57735,Thaicom 8,3100.0,GTO,Thaicom,Success,Success (drone ship),1
26,2016-06-15,F9 FT,B1024,CCAFS SLC-40,28.5623,-80.57735,ABS-2A / Eutelsat 117 West B,3600.0,GTO,ABS/Eutelsat,Success,Failure (drone ship),0
27,2016-07-18,F9 FT,B1025,CCAFS SLC-40,28.5623,-80.57735,SpaceX CRS-9 (Dragon C111.1),2257.0,ISS,NASA (CRS),Success,Success (ground pad),1
28,2016-08-14,F9 FT,B1026,CCAFS SLC-40,28.5623,-80.57735,JCSAT-16,4600.0,GTO,SKY Perfect JSAT,Success,Success (drone ship),1
29,2017-01-14,F9 FT,B1029,VAFB SLC-4E,34.63209,-120.61084,Iridium NEXT-1,9600.0,PO,Iridium Communications,Success,Success (drone ship),1
30,2017-02-19,F9 FT,B1031,KSC LC-39A,28.60809,-80.60397,SpaceX CRS-10 (Dragon C112.1),2490.0,ISS,NASA (CRS),Success,Success (ground pad),1
31,2017-03-16,F9 FT,B1030,KSC LC-39A,28.60809,-80.60397,EchoStar 23,5600.0,GTO,EchoStar,Success,No attempt,0
32,2017-03-30,F9 FT,B1021,KSC LC-39A,28.60809,-80.60397,SES-10,5300.0,GTO,SES,Success,Success (drone ship),1
33,2017-05-01,F9 FT,B1032,KSC LC-39A,28.60809,-80.60397,NROL-76,,LEO,NRO,Success,Success (ground pad),1
34,2017-05-15,F9 FT,B1034,KSC LC-39A,28.60809,-80.60397,Inmarsat-5 F4,6070.0,GTO,Inmarsat,Success,No attempt,0
35,2017-06-03,F9 FT,B1035,KSC LC-39A,28.60809,-80.60397,SpaceX CRS-11 (Dragon C106.2),2708.0,ISS,NASA (CRS),Success,Success (ground pad),1
36,2017-06-23,F9 FT,B1029,KSC LC-39A,28.60809,-80.60397,BulgariaSat-1,3669.0,GTO,Bulsatcom,Success,Success (drone ship),1
37,2017-06-25,F9 FT,B1036,VAFB SLC-4E,34.63209,-120.61084,Iridium NEXT-2,9600.0,LEO,Iridium Communications,Success,Success (drone ship),1
38,2017-07-05,F9 FT,B1037,KSC LC-39A,28.60809,-80.60397,Intelsat 35e,6761.0,GTO,Intelsat,Success,No attempt,0
39,2017-08-14,F9 B4,B1039,KSC LC-39A,28.60809,-80.60397,SpaceX CRS-12 (Dragon C113.1),3310.0,ISS,NASA (CRS),Success,Success (ground pad),1
40,2017-08-24,F9 FT,B1038,VAFB SLC-4E,34.63209,-120.61084,Formosat-5,475.0,SSO,NSPO,Success,Success (drone ship),1
41,2017-09-07,F9 B4,B1040,KSC LC-39A,28.60809,-80.60397,Boeing X-37B OTV-5,4990.0,LEO,USAF,Success,Success (ground pad),1
42,2017-10-09,F9 B4,B1041,VAFB SLC-4E,34.63209,-120.61084,Iridium NEXT-3,9600.0,PO,Iridium Communications,Success,Success (drone ship),1
43,2017-10-11,F9 FT,B1031,KSC LC-39A,28.60809,-80.60397,SES-11 / EchoStar 105,5400.0,GTO,SES/EchoStar,Success,Success (drone ship),1
44,2017-10-30,F9 B4,B1042,KSC LC-39A,28.60809,-80.60397,Koreasat 5A,3500.0,GTO,KT Corporation,Success,Success (drone ship),1
45,2017-12-15,F9 FT,B1035,CCAFS SLC-40,28.5623,-80.57735,SpaceX CRS-13 (Dragon C108.2),2205.0,ISS,NASA (CRS),Success,Success (ground pad),1
46,2017-12-23,F9 FT,B1036,VAFB SLC-4E,34.63209,-120.61084,Iridium NEXT-4,9600.0,PO,Iridium Communications,Success,Controlled (ocean),0
47,2018-01-08,F9 B4,B1043,CCAFS SLC-40,28.5623,-80.57735,Zuma,,LEO,US Government,Success,Success (ground pad),1
48,2018-01-31,F9 FT,B1032,CCAFS SLC-40,28.5623,-80.57735,GovSat-1 (SES-16),4230.0,GTO,SES,Success,Controlled (ocean),0
49,2018-02-22,F9 FT,B1038,VAFB SLC-4E,34.63209,-120.61084,Paz,2150.0,SSO,Hisdesat,Success,No attempt,0
50,2018-03-06,F9 B4,B1044,CCAFS SLC-40,28.5623,-80.57735,Hispasat 30W-6,6092.0,GTO,Hispasat,Success,Controlled (ocean),0
51,2018-03-30,F9 B4,B1041,VAFB SLC-4E,34.63209,-120.61084,Iridium NEXT-5,9600.0,PO,Iridium Communications,Success,No attempt,0
52,2018-04-02,F9 B4,B1039,CCAFS SLC-40,28.5623,-80.57735,SpaceX CRS-14 (Dragon C110.2),2647.0,ISS,NASA (CRS),Success,No attempt,0
53,2018-04-18,F9 B4,B1045,CCAFS SLC-40,28.5623,-80.57735,TESS,362.0,HEO,NASA (LSP),Success,Success (drone ship),1
54,2018-05-11,F9 B5,B1046,KSC LC-39A,28.60809,-80.60397,Bangabandhu-1,3600.0,GTO,Thales-Alenia/BTRC,Success,Success (drone ship),1
55,2018-05-22,F9 B4,B1043,VAFB SLC-4E,34.63209,-120.61084,Iridium NEXT-6 / GRACE-FO,6460.0,PO,Iridium/GFZ/NASA,Success,No attempt,0
56,2018-06-04,F9 B4,B1040,CCAFS SLC-40,28.5623,-80.57735,SES-12,5384.0,GTO,SES,Success,No attempt,0
57,2018-06-29,F9 B4,B1045,CCAFS SLC-40,28.5623,-80.57735,SpaceX CRS-15 (Dragon C111.2),2697.0,ISS,NASA (CRS),Success,No attempt,0
58,2018-07-22,F9 B5,B1047,CCAFS SLC-40,28.5623,-80.57735,Telstar 19V,7075.0,GTO,Telesat,Success,Success (drone ship),1
59,2018-07-25,F9 B5,B1048,VAFB SLC-4E,34.63209,-120.61084,Iridium NEXT-7,9600.0,PO,Iridium Communications,Success,Success (drone ship),1
60,2018-08-07,F9 B5,B1046,CCAFS SLC-40,28.5623,-80.57735,Merah Putih,5800.0,GTO,Telkom Indonesia,Success,Success (drone ship),1
61,2018-09-10,F9 B5,B1049,CCAFS SLC-40,28.5623,-80.57735,Telstar 18V / Apstar-5C,7060.0,GTO,Telesat,Success,Success (drone ship),1
62,2018-10-08,F9 B5,B1048,VAFB SLC-4E,34.63209,-120.61084,SAOCOM 1A,3000.0,SSO,CONAE,Success,Success (ground pad),1
63,2018-11-15,F9 B5,B1047,KSC LC-39A,28.60809,-80.60397,Es'hail 2,5300.0,GTO,Es'hailSat,Success,Success (drone ship),1
64,2018-12-03,F9 B5,B1046,VAFB SLC-4E,34.63209,-120.61084,SSO-A (SmallSat Express),4000.0,SSO,Spaceflight Industries,Success,Success (drone ship),1
65,2018-12-05,F9 B5,B1050,CCAFS SLC-40,28.5623,-80.57735,SpaceX CRS-16 (Dragon C112.2),2500.0,ISS,NASA (CRS),Success,Failure (ground pad),0
66,2018-12-23,F9 B5,B1054,CCAFS SLC-40,28.5623,-80.57735,GPS III-01,4400.0,MEO,USAF,Success,No attempt,0
67,2019-01-11,F9 B5,B1049,VAFB SLC-4E,34.63209,-120.61084,Iridium NEXT-8,9600.0,PO,Iridium Communications,Success,Success (drone ship),1
68,2019-02-22,F9 B5,B1048,CCAFS SLC-40,28.5623,-80.57735,Nusantara Satu,4850.0,GTO,PSN/SpaceIL/IAI,Success,Success (drone ship),1
69,2019-03-02,F9 B5,B1051,KSC LC-39A,28.60809,-80.60397,Crew Dragon Demo-1,12055.0,ISS,NASA (CCD),Success,Success (drone ship),1
70,2019-05-04,F9 B5,B1056,CCAFS SLC-40,28.5623,-80.57735,SpaceX CRS-17 (Dragon C113.2),2495.0,ISS,NASA (CRS),Success,Success (drone ship),1
71,2019-05-24,F9 B5,B1049,CCAFS SLC-40,28.5623,-80.57735,Starlink v0.9,13620.0,LEO,SpaceX,Success,Success (drone ship),1
72,2019-06-12,F9 B5,B1051,VAFB SLC-4E,34.63209,-120.61084,RADARSAT Constellation,4200.0,SSO,Canadian Space Agency,Success,Success (ground pad),1
73,2019-07-25,F9 B5,B1056,CCAFS SLC-40,28.5623,-80.57735,SpaceX CRS-18 (Dragon C108.3),2268.0,ISS,NASA (CRS),Success,Success (ground pad),1
74,2019-08-06,F9 B5,B1047,CCAFS SLC-40,28.5623,-80.57735,AMOS-17,6500.0,GTO,Spacecom,Success,No attempt,0
75,2019-11-11,F9 B5,B1048,CCAFS SLC-40,28.5623,-80.57735,Starlink Launch 1,15600.0,LEO,SpaceX,Success,Success (drone ship),1
76,2019-12-05,F9 B5,B1059,CCAFS SLC-40,28.5623,-80.57735,SpaceX CRS-19 (Dragon C106.3),2617.0,ISS,NASA (CRS),Success,Success (drone ship),1
77,2019-12-17,F9 B5,B1056,CCAFS SLC-40,28.5623,-80.57735,JCSat-18 / Kacific 1,6956.0,GTO,Sky Perfect JSAT/Kacific,Success,Success (drone ship),1
